ano;classificacao_do_filme;diretor;duracao;imdb_link;nome;nota;popularidade_score;popularidade_tendencia;poster_link;sinopse
2017;PG-13;Joachim Rønning;2h 9m;https://www.imdb.com/title/tt1790809/;Pirates of the Caribbean: Dead Men Tell No Tales;6.5;84;popularity-dow;https://www.imdb.com/title/tt1790809/mediaviewer/rm337719808/?ref_=tt_ov_i;Captain Jack Sparrow is pursued by old rival Captain Salazar and a crew of deadly ghosts who have escaped from the Devil's Triangle. They're determined to kill every pirate at sea...notably Jack.
2023;Not rated;James Wan;;https://www.imdb.com/title/tt9663764/;Aquaman and the Lost Kingdom;;86;popularity-up;https://www.imdb.com/title/tt9663764/mediaviewer/rm3564946689/?ref_=tt_ov_i;Plot unknown. Sequel to the 2018 film 'Aquaman.'
2021;PG;Jared Bush;1h 42m;https://www.imdb.com/title/tt2953050/;Encanto;7.2;80;popularity-dow;https://www.imdb.com/title/tt2953050/mediaviewer/rm2541025281/?ref_=tt_ov_i;A Colombian teenage girl has to face the frustration of being the only member of her family without magical powers.
2021;R;Matthew Vaughn;2h 11m;https://www.imdb.com/title/tt6856242/;The King's Man;6.3;81;popularity-dow;https://www.imdb.com/title/tt6856242/mediaviewer/rm1942154753/?ref_=tt_ov_i;In the early years of the 20th century, the Kingsman agency is formed to stand against a cabal plotting a war to wipe out millions.
2022;PG-13;Reid Carolin;1h 41m;https://www.imdb.com/title/tt11252248/;Dog;6.5;79;popularity-up;https://www.imdb.com/title/tt11252248/mediaviewer/rm769452289/?ref_=tt_ov_i;Two former Army Rangers are paired against their will on the road trip of a lifetime. Briggs (Channing Tatum) and Lulu (a Belgian Malinois) race down the Pacific Coast to get to a fellow soldier's funeral on time.
2022;PG;Domee Shi;1h 40m;https://www.imdb.com/title/tt8097030/;Turning Red;7.0;82;popularity-dow;https://www.imdb.com/title/tt8097030/mediaviewer/rm1685446657/?ref_=tt_ov_i;A 13-year-old girl named Meilin turns into a giant red panda whenever she gets too excited.
2022;R;Nicholas Stoller;;https://www.imdb.com/title/tt9731598/;Bros;;77;popularity-up;https://www.imdb.com/title/tt9731598/mediaviewer/rm1346048769/?ref_=tt_ov_i;Two men with commitment problems attempt a relationship.
2022;TV-MA;Mehdi Avaz;1h 30m;https://www.imdb.com/title/tt13276352/;Toscana;5.8;78;popularity-up;https://www.imdb.com/title/tt13276352/mediaviewer/rm95624449/?ref_=tt_ov_i;When a Danish chef travels to Tuscany to sell his father's business, he meets a local woman who inspires him to rethink his approach to life and love.
2022;PG-13;Shawn Levy;1h 46m;https://www.imdb.com/title/tt2463208/;The Adam Project;6.7;75;popularity-dow;https://www.imdb.com/title/tt2463208/mediaviewer/rm2312247809/?ref_=tt_ov_i;After accidentally crash-landing in 2022, time-traveling fighter pilot Adam Reed teams up with his 12-year-old self for a mission to save the future.
2022;PG-13;Chris Sivertson;1h 29m;https://www.imdb.com/title/tt4624366/;Monstrous;4.6;76;popularity-up;https://www.imdb.com/title/tt4624366/mediaviewer/rm620698625/?ref_=tt_ov_i;Story centers on a traumatized woman fleeing from her abusive ex-husband with her 7-year-old son. In their new, remote sanctuary they find they have a bigger, more terrifying monster to deal with.
